time,IP,userId,userNick,comment,score,processComment,jieba
1724774400,河南,257407d3-910a-46a9-a59a-0e25f4501618,捶小黑子,同程买联票方便，价格也实惠。📍开车自驾游：直接搜“老君山13号停车坪，离一级索道最近，离开只需10元停车费，进门需要验票，提前准备好身份证”。一级索道上去，到中天门，可以选择二级索道或步行，老君山上面道路盘山修建，比较好上金顶，路上山顶都有卖吃的，价格比平时贵不了几块钱，没必要带吃喝食物。老君山风景很好，值得你来游玩一番,10,同程买联票方便价格也实惠开车自驾游直接搜老君山号停车坪离一级索道最近离开只需元停车费进门需要验票提前准备好身份证一级索道上去到中天门可以选择二级索道或步行老君山上面道路盘山修建比较好上金顶路上山顶都有卖吃的价格比平时贵不了几块钱没必要带吃喝食物老君山风景很好值得你来游玩一番,同程 买 联票 方便 价格 实惠 开车 自驾游 直接 搜 老君山 号 停车 坪 一级 索道 最近 离开 需元 停车费 进门 需要 验票 提前准备 身份证 一级 索道 上去 中 天门 选择 二级 索道 步行 老君山 上面 道路 盘山 修建 比较 金顶 路上 山顶 卖 吃 价格比 平时 贵 不了 几块钱 没 必要 带 吃喝 食物 老君山 风景 很好 值得 游玩 一番
1734192000,河南,617fcab8-b3b7-4ddb-aa91-3c930b9b928a,同程会员_63E40656DBE,导游全程热情服务，讲解生动有趣，专业知识丰富，让我们深入了解了老君山的文化底蕴和历史传说，整个行程有条不紊，体验感超棒。购票过程十分便捷，线上线下的指引都清晰明了，工作人员耐心解答疑问，没有出现任何拥堵或混乱情况，快速拿到门票开启愉快旅程。而老君山的景色更是令人陶醉！峰林险峻壮美，十里画屏一步一景，栈道蜿蜒曲折，行走其间仿佛置身于山水画卷之中，每一处都震撼人心，让人流连忘返。这一趟老君山之旅，满足了我对美景的所有期待，真心推荐给大家！,10,导游全程热情服务讲解生动有趣专业知识丰富让我们深入了解了老君山的文化底蕴和历史传说整个行程有条不紊体验感超棒购票过程十分便捷线上线下的指引都清晰明了工作人员耐心解答疑问没有出现任何拥堵或混乱情况快速拿到门票开启愉快旅程而老君山的景色更是令人陶醉峰林险峻壮美十里画屏一步一景栈道蜿蜒曲折行走其间仿佛置身于山水画卷之中每一处都震撼人心让人流连忘返这一趟老君山之旅满足了我对美景的所有期待真心推荐给大家,导游 全程 热情服务 讲解 生动有趣 专业知识 丰富 深入 了解 老君山 文化底蕴 历史 传说 整个 行程 有条不紊 体验 感超棒 购票 过程 十分 便捷 线 上线 指引 清晰 明 工作人员 耐心 解答 疑问 出现 拥堵 混乱 情况 快速 拿到 门票 开启 愉快 旅程 老君山 景色 更是 令人 陶醉 峰林 险峻 壮美 十里 画屏 一步 一景 栈道 蜿蜒 曲折 行走 其间 仿佛 置身于 山水画 卷 之中 每一处 震撼人心 流连忘返 一趟 老君山 之旅 满足 美景 期待 真心 推荐
1734192000,河南,f9de2b68-4ba7-420a-9bee-e74a55b9c114,同程会员_34844331ED8,非常棒的老君山体验，导游美女姐姐非常贴心，讲解超好，老君山真的太好看了，非常值得来！,10,非常棒的老君山体验导游美女姐姐非常贴心讲解超好老君山真的太好看了非常值得来,非常 棒 老君山 体验 导游 美女 姐姐 非常 贴心 讲解 超好 老君山 真的 太 好看 非常 值得
1683216000,山东,d61fba35-fe55-4d9b-864f-4bffb9a9b0d8,同程会员_4C6CDF07DCC,五一假期去的，人超级多，景区很大，全程走路超累，我们好在提前订了套票，还是很划算的，如果行程紧，索道往返，可以省下不少时间，也不会很累。可以订一级索道周边的民宿（民宿很多，都不错，凭心意选择就好啦），这样能早点上山或者太累了下山休息，次日再走也不错。十里画屏景色很好，心旷神怡。游玩路线是单行线，逛完一圈儿，累了可以坐滑道下来，再坐索道。可以自带食物上山，山上有服务区休息，也可以景区购买，挺方便的。索道最好早点儿排队，不然要等好久。山上温差大，需要注意下。,10,五一假期去的人超级多景区很大全程走路超累我们好在提前订了套票还是很划算的如果行程紧索道往返可以省下不少时间也不会很累可以订一级索道周边的民宿民宿很多都不错凭心意选择就好啦这样能早点上山或者太累了下山休息次日再走也不错十里画屏景色很好心旷神怡游玩路线是单行线逛完一圈儿累了可以坐滑道下来再坐索道可以自带食物上山山上有服务区休息也可以景区购买挺方便的索道最好早点儿排队不然要等好久山上温差大需要注意下,五一 假期 超级 景区 很大 全程 走路 超累 提前 订 套票 划算 行程 紧 索道 往返 省下 不少 时间 很累 订 一级 索道 周边 民宿 民宿 很多 不错 心意 选择 早点 上山 太累 下山 休息 次日 走 不错 十里 画屏 景色 很好 心旷神怡 游玩 路线 单行线 逛 完 一圈 儿累 坐 滑道 下来 坐 索道 自带 食物 上山 山上 服务区 休息 景区 购买 挺 方便 索道 最好 早点儿 排队 好久 山上 温差 需要 注意
1673107200,河南,1d347bc8-8db3-4c27-9a5a-e90158164188,同程会员_8A3F60D9E3B,选择在2023年元旦去的，人特别多，刚好赶上老君山下雪，风景很美，值得推荐的地方。,10,选择在年元旦去的人特别多刚好赶上老君山下雪风景很美值得推荐的地方,选择 年 元旦 特别 刚好 赶上 老君山 下雪 风景 美 值得 推荐 地方
1728489600,河南,9ee1b55b-98e7-48c4-9ea4-bbc584e45c07,同程会员_3CC1B0DB675,推荐推荐 超级推荐来玩 打卡老君山 ,10,推荐推荐超级推荐来玩打卡老君山,推荐 推荐 超级 推荐 玩 打卡 老君山
1674662400,河南,4f236d5b-59ed-484d-817f-2ed24cfd79e8,同程会员_A7ECEDABF2E,总体满意，虽然是春节假期，我们冒着人满为患的风险，按照自己的时间规划完美错过人流高峰，顺利入园，一二级索道上行以及一级索道下行都在十分钟内完成，效率很高。二级索道下行时排队人多，果断步行下山到一级索道。整个游玩儿过程顺利通畅。景区管理比较规范，工作人员很多，都会认真热情地解答问题，面对巨大的客流，景区比较干净，这背后一定有更多的工作人员放弃节日休息，致敬。山下是冬天的正常温度，今天最高4度；一级索道到达中天门后，温度骤降，风也大起来，到达金顶后更冷了，风也更大。天气转暖前来玩一定多穿衣服，必备帽子、手套。春节期间完美的旅行，再见了栾川，再见老君山。,10,总体满意虽然是春节假期我们冒着人满为患的风险按照自己的时间规划完美错过人流高峰顺利入园一二级索道上行以及一级索道下行都在十分钟内完成效率很高二级索道下行时排队人多果断步行下山到一级索道整个游玩儿过程顺利通畅景区管理比较规范工作人员很多都会认真热情地解答问题面对巨大的客流景区比较干净这背后一定有更多的工作人员放弃节日休息致敬山下是冬天的正常温度今天最高度一级索道到达中天门后温度骤降风也大起来到达金顶后更冷了风也更大天气转暖前来玩一定多穿衣服必备帽子手套春节期间完美的旅行再见了栾川再见老君山,总体 满意 春节假期 人满为患 风险 时间 规划 完美 错过 人流 高峰 顺利 入园 二级 索道 上行 一级 索道 下行 十分钟 完成 效率 高 二级 索道 下行 时 排队 人多 果断 步行 下山 一级 索道 整个 游玩 过程 顺利 通畅 景区 管理 比较 规范 工作人员 很多 会 认真 热情 解答 问题 面对 巨大 客流 景区 比较 干净 背后 一定 更 工作人员 放弃 节日 休息 致敬 山下 冬天 正常 温度 今天 高度 一级 索道 到达 中 天门 温度 骤降 风 起来 到达 金顶 更 冷 风 更 天气 转暖 前来 玩 一定 穿衣服 必备 帽子 手套 春节 期间 完美 旅行 再见 栾川 再见 老君山
1695916800,河南,0352896f-28f4-44e6-ad57-d293e0ae7cfb,哒哒418,千万千万不要雨天上山，昨天和明天有雨的也不要上山，否则山上是雾是云海，全看运气，大概率是雾。天气预报是阴转小雨，我们11点半上山，没有坐二道索道，3点要到山顶时就开始起雾，到了十里画屏开始下雨，雾曾短时间（10分钟左右）散过，但很快又起雾。到云顶天宫时，又是雨又是雾，啥也看不了，我们很快就下山了。下图是雾短时散去时拍的。,6,千万千万不要雨天上山昨天和明天有雨的也不要上山否则山上是雾是云海全看运气大概率是雾天气预报是阴转小雨我们点半上山没有坐二道索道点要到山顶时就开始起雾到了十里画屏开始下雨雾曾短时间分钟左右散过但很快又起雾到云顶天宫时又是雨又是雾啥也看不了我们很快就下山了下图是雾短时散去时拍的,千万千万 不要 雨天 上山 昨天 明天 有雨 不要 上山 山上 雾 云海 全 看运气 概率 雾 天气预报 阴转 小雨 点半 上山 坐 二道 索道 点要 山顶 时 起雾 十里 画屏 雨雾 短时间 分钟 左右 散过 很快 起雾 云顶 天宫 时 雨 雾 不了 很快 下山 下图 雾 短时 散去 时 拍
1681574400,河南,d33e1d49-09c6-4168-9b07-5601229dbf6d,鸡哔你,人太多，人太多，人太多。错峰出行，全部都是人挤人，体验感不好。坐第一段索道需要排队1个多小时，坐第二段索道需要排队40分钟。目前树木都是枯枝烂叶，没有绿意盎然的生机，风景和拍照都一般般啦！金殿还在装修中！,6,人太多人太多人太多错峰出行全部都是人挤人体验感不好坐第一段索道需要排队个多小时坐第二段索道需要排队分钟目前树木都是枯枝烂叶没有绿意盎然的生机风景和拍照都一般般啦金殿还在装修中,人太多 人太多 人太多 错峰 出行 全部都是 人挤 体验 感 不好 坐 第一段 索道 需要 排队 小时 坐 第二段 索道 需要 排队 分钟 目前 树木 枯枝 烂叶 绿意盎然 生机 风景 拍照 一般般 金殿 装修 中
1691769600,河南,0dda830d-5974-4314-84a4-a16008b804a2,热心市民小王,风景很好，套餐也很划算，比分开买便宜的多,10,风景很好套餐也很划算比分开买便宜的多,风景 很好 套餐 划算 分开 买 便宜
